,Unnamed: 0,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
25,780,1593578670,451400.0,392072.3333,0.0,0.0,27.95028,27.95028,602.7373333,0.001,0.001,1.0,1.0
453,16920,1594547070,538300.0,481307.6667,0.0,0.0,25.0,0.0,261.27724,0.001,0.001,1.0,0.001
2036,75960,1598089470,449733.3333,360504.3333,28.90622,28.90622,0.0,28.90622,864.73716,1.0,1.0,0.001,1.0
672,25260,1595047470,449766.6667,359896.0,28.95946,0.0,28.95946,28.95946,859.8113067,1.0,0.001,1.0,1.0
1352,49830,1596521670,451866.6667,321788.0,29.61264667,29.61264667,29.61264667,29.61264667,1039.490947,1.0,1.0,1.0,1.0
732,27090,1595157270,414500.0,386574.0,0.0,0.0,25.0,0.0,279.0436133,0.001,0.001,1.0,0.001
2010,74970,1598030070,458600.0,388310.3333,32.80518667,0.0,0.0,32.80518667,699.75612,1.0,0.001,0.001,1.0
1656,61200,1597203870,450200.0,354716.3333,0.0,27.31359333,27.31359333,27.31359333,748.94484,0.001,1.0,1.0,1.0
1024,37290,1595769270,525266.6667,470225.0,0.0,0.0,25.0,0.0,263.83868,0.001,0.001,1.0,0.001
815,30150,1595340870,487800.0,388108.3333,0.0,30.3,30.3,30.3,890.2908,0.001,1.0,1.0,1.0
857,31500,1595421870,457400.0,336951.3333,28.9,28.9,28.9,29.0,1041.340533,1.0,1.0,1.0,1.0
1588,58560,1597045470,477600.0,317534.3333,30.66286333,30.66030667,30.66249,30.66158667,1018.647373,1.0,1.0,1.0,1.0
963,35190,1595643270,407266.6667,343316.0,26.00250333,0.0,26.00250333,0.0,531.26752,1.0,0.001,1.0,0.001
2059,78600,1598247870,465800.0,367593.6667,30.06031333,30.06031333,0.0,30.06031333,885.3856667,1.0,1.0,0.001,1.0
254,10710,1594174470,455433.3333,335766.6667,30.24888667,0.0,30.24888667,30.24888667,852.1378133,1.0,0.001,1.0,1.0
788,29340,1595292270,432700.0,342593.0,0.0,29.38611667,29.38597667,29.38592333,864.8500933,0.001,1.0,1.0,1.0
1189,43740,1596156270,415866.6667,314640.6667,31.88366333,31.88719333,31.88753333,0.0,939.85892,1.0,1.0,1.0,0.001
1124,41310,1596010470,448600.0,328589.6667,28.61620333,28.61620333,28.61620333,28.61620333,1026.981013,1.0,1.0,1.0,1.0
1669,61590,1597227270,433433.3333,325579.6667,0.0,31.86920333,31.86920333,31.86920333,944.0694667,0.001,1.0,1.0,1.0
2282,86370,1598714070,417933.3333,353039.0,28.08594,0.0,0.0,28.08594,596.6530267,1.0,0.001,0.001,1.0
995,36210,1595702670,551900.0,451187.3333,0.0,0.0,25.0,0.0,222.3968133,0.001,0.001,1.0,0.001
1791,65970,1597490070,443100.0,323466.0,27.58,27.48046,27.48046,27.48046,960.2554267,1.0,1.0,1.0,1.0
1763,64920,1597427070,455400.0,357089.0,29.20831,29.20688667,0.0,29.20688667,859.1376267,1.0,1.0,0.001,1.0
2091,79740,1598316270,444833.3333,356307.6667,29.11539,29.11539,0.0,29.11539,873.7477467,1.0,1.0,0.001,1.0
1788,65880,1597484670,464166.6667,344530.6667,27.67622333,27.67622333,27.67622333,27.67622333,974.48372,1.0,1.0,1.0,1.0
1092,40170,1595942070,494566.6667,404224.3333,29.45269,29.45269,0.0,29.45269,875.6186133,1.0,1.0,0.001,1.0
396,15180,1594442670,442533.3333,339091.3333,29.7,0.0,29.7,29.7,857.7958667,1.0,0.001,1.0,1.0
2074,79080,1598276670,458533.3333,398842.3333,27.19146333,27.19146333,0.0,0.0,563.8773467,1.0,1.0,0.001,0.001
1571,57540,1596984270,489733.3333,406568.3333,0.0,0.0,0.0,28.00014667,283.89984,0.001,0.001,0.001,1.0
1416,52020,1596653070,390566.6667,330441.3333,29.15945667,0.0,0.0,29.15945667,630.4296133,1.0,0.001,0.001,1.0
89,2730,1593695670,394266.6667,329253.3333,0.0,0.0,27.4937,0.0,281.10432,0.001,0.001,1.0,0.001
1831,68220,1597625070,467533.3333,358622.3333,27.66075667,27.66075667,0.0,27.66075667,748.7872933,1.0,1.0,0.001,1.0
634,24030,1594973670,433200.0,333825.6667,28.73592333,0.0,28.73592333,28.73592333,824.2510267,1.0,0.001,1.0,1.0
868,31920,1595447070,402533.3333,372569.0,27.46996,0.0,0.0,0.0,309.3873067,1.0,0.001,0.001,0.001
1828,68130,1597619670,425433.3333,317795.3333,27.65056333,27.65056333,0.0,27.65056333,757.4815733,1.0,1.0,0.001,1.0
381,14670,1594412070,481633.3333,384113.3333,0.0,0.0,25.0,0.0,212.9370133,0.001,0.001,1.0,0.001
1816,66960,1597549470,384166.6667,336168.6667,0.0,0.0,28.46438667,0.0,311.30848,0.001,0.001,1.0,0.001
532,19470,1594700070,449433.3333,395457.3333,29.2,0.0,0.0,29.2,636.6902267,1.0,0.001,0.001,1.0
1436,52830,1596701670,444033.3333,324188.0,28.5893,28.5893,28.5893,28.5893,1024.84256,1.0,1.0,1.0,1.0
1869,69720,1597715070,474166.6667,380671.0,27.0,0.0,27.36644,27.30255,774.9054133,1.0,0.001,1.0,1.0
1114,40980,1595990670,435000.0,335301.6667,30.20345667,30.20345667,0.0,30.20345667,893.0806267,1.0,1.0,0.001,1.0
102,3390,1593735270,447766.6667,373639.3333,0.0,0.0,26.39113333,26.39113333,540.90904,0.001,0.001,1.0,1.0
1353,49860,1596523470,445733.3333,315510.6667,29.53296333,29.53296333,29.53296333,29.53296333,1041.493133,1.0,1.0,1.0,1.0
1545,56760,1596937470,421866.6667,338917.3333,0.0,0.0,0.0,28.00014667,286.7739467,0.001,0.001,0.001,1.0
1899,70680,1597772670,450200.0,378415.0,28.1732,0.0,0.0,28.19401,587.74604,1.0,0.001,0.001,1.0
1163,42750,1596096870,447100.0,319530.6667,28.92526333,28.92547667,28.92543,28.92568667,1021.967147,1.0,1.0,1.0,1.0
1348,49710,1596514470,459700.0,329660.3333,29.70059333,29.70059333,29.70059333,29.70059333,1056.927013,1.0,1.0,1.0,1.0
1752,64560,1597405470,439600.0,322020.0,27.02571,27.02571,27.02571,27.02571,930.9384,1.0,1.0,1.0,1.0
1326,48690,1596453270,472433.3333,322541.0,30.74044667,30.74044667,30.74044667,30.74044667,1064.345053,1.0,1.0,1.0,1.0
2013,75090,1598035470,425100.0,336487.3333,28.58400333,0.0,0.0,28.58400333,574.44492,1.0,0.001,0.001,1.0
2266,85890,1598685270,434933.3333,376938.6667,29.95816667,0.0,0.0,29.95816667,648.88012,1.0,0.001,0.001,1.0
1928,71790,1597839270,473466.6667,374132.3333,30.32892,0.0,30.50844667,30.46315667,903.00644,1.0,0.001,1.0,1.0
1439,52920,1596707070,442900.0,322771.6667,28.57842333,28.57842333,28.57842333,28.57842333,1024.38924,1.0,1.0,1.0,1.0
983,35820,1595681070,476066.6667,375810.3333,0.0,0.0,25.0,0.0,223.1873467,0.001,0.001,1.0,0.001
384,14760,1594417470,540466.6667,442534.0,0.0,0.0,25.0,0.0,229.5948667,0.001,0.001,1.0,0.001
981,35760,1595677470,503466.6667,403355.6667,0.0,0.0,25.0,0.0,224.2845733,0.001,0.001,1.0,0.001
1430,52650,1596690870,445733.3333,325925.0,28.51095667,28.51095667,28.51095667,28.51095667,1017.525973,1.0,1.0,1.0,1.0
1360,50070,1596536070,443700.0,313802.6667,29.13921,29.13921,29.13921,29.13921,1018.354307,1.0,1.0,1.0,1.0
31,960,1593589470,463566.6667,403934.6667,0.0,0.0,28.13033667,28.13033667,604.6240667,0.001,0.001,1.0,1.0
775,28800,1595259870,525000.0,461981.3333,0.0,30.17,0.0,30.17,638.4236133,0.001,1.0,0.001,1.0
2343,88980,1598870670,456933.3333,347076.0,27.14091,27.14108667,27.14101,27.14118667,957.95812,1.0,1.0,1.0,1.0
25,780,1593578670,451400.0,392072.3333,0.0,0.0,27.95028,27.95028,602.7373333,0.001,0.001,1.0,1.0
1917,71430,1597817670,497866.6667,356250.3333,30.10388,30.09865,30.09112333,30.08949667,1059.58244,1.0,1.0,1.0,1.0
