NB2_S_x_NYZ_x_x_Fcw_x,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x
1030.18216,468066.6667,348639.3333,28.72752,28.70814667,28.70934667,28.74302667
287.1322533,540100,502748.3333,0,0,26.00122,0
795.9388267,447733.3333,369183,27.13608667,27.13608667,27.13608667,0
615.11772,513366.6667,463368.3333,27.87626667,0,0,27.87626667
575.42352,449600,389556.3333,0,0,26.99358667,26.99358667
833.6181467,435633.3333,333681.3333,29,0,29,29
848.8735733,438166.6667,337933,29.13588,0,29.13588,29.13588
837.1846,432866.6667,348987.3333,28.80002667,28.54929667,28.60613667,0
856.1723333,409866.6667,319618,28.9961,28.9961,0,28.9961
284.02612,432900,405671.3333,0,0,25,0
254.3719733,465133.3333,403356.6667,0,0,25,0
802.38312,460600,382755.3333,27.07947,27.07947,0,27.07947
401.058,356233.3333,327025.3333,34.99193667,0,0,0
1020.31076,446966.6667,326766,28.54948333,28.54948333,28.54948333,28.54946667
158.92828,552500,455584.6667,25,0,0,0
243.2933067,458766.6667,379601,0,0,25,0
1027.36732,437100,316869.6667,28.76045333,28.76045333,28.76045333,28.76045333
674.9568933,379666.6667,319762,31.48261,0,0,31.48364667
1035.714587,449900,319790,29.47288333,29.47288333,29.47288333,29.47288333
742.5122133,426300,326736,27.05167,27.05167,0,27.05117667
567.3179867,454700,387413.6667,27.01831333,0,0,27.01870667
780.9952267,442100,345486.6667,27.5,0,27.5,27.5
792.4685067,428333.3333,327721.3333,27.91939333,27.91939333,0,27.91939333
223.7755333,479200,381192.6667,25,0,0,0
661.1787467,435800,375637.6667,30.94688667,0,0,30.94688667
638.4206267,383000,323003,0,0,29.21549667,29.21711333
602.7373333,451400,392072.3333,0,0,27.95028,27.95028
261.27724,538300,481307.6667,0,0,25,0
864.73716,449733.3333,360504.3333,28.90622,28.90622,0,28.90622
859.8113067,449766.6667,359896,28.95946,0,28.95946,28.95946
1039.490947,451866.6667,321788,29.61264667,29.61264667,29.61264667,29.61264667
279.0436133,414500,386574,0,0,25,0
699.75612,458600,388310.3333,32.80518667,0,0,32.80518667
748.94484,450200,354716.3333,0,27.31359333,27.31359333,27.31359333
263.83868,525266.6667,470225,0,0,25,0
890.2908,487800,388108.3333,0,30.3,30.3,30.3
1041.340533,457400,336951.3333,28.9,28.9,28.9,29
1018.647373,477600,317534.3333,30.66286333,30.66030667,30.66249,30.66158667
531.26752,407266.6667,343316,26.00250333,0,26.00250333,0
885.3856667,465800,367593.6667,30.06031333,30.06031333,0,30.06031333
852.1378133,455433.3333,335766.6667,30.24888667,0,30.24888667,30.24888667
864.8500933,432700,342593,0,29.38611667,29.38597667,29.38592333
939.85892,415866.6667,314640.6667,31.88366333,31.88719333,31.88753333,0
1026.981013,448600,328589.6667,28.61620333,28.61620333,28.61620333,28.61620333
944.0694667,433433.3333,325579.6667,0,31.86920333,31.86920333,31.86920333
596.6530267,417933.3333,353039,28.08594,0,0,28.08594
