,Fcw_ypred,Fcw_yobse,ts
113,2896.6879056857297,2905.281,1593941370.0
114,2892.0394666154816,2897.121,
115,2895.277406877028,2906.9773333333337,
116,2848.588787027489,2838.023333333333,
117,2896.459788803351,2890.1216666666664,
118,2910.2191775695474,2904.101166666667,
119,2888.5691353226,2881.734,
120,2855.35114946473,2829.5255,
121,2855.6004829392014,2821.0116666666668,
122,2801.458674505885,2753.3241666666668,
123,2806.632904638345,2751.0558333333333,
124,2812.5733793704217,2758.4523333333336,
125,2811.508961417474,2761.1393333333335,
126,2821.972493040368,2782.6538333333333,
127,2815.7999600332905,2761.8456666666666,
128,2391.5504494663705,2420.7985,1593995370.0
129,2243.767367169749,2238.387166666667,1593998970.0
130,2124.3013441153666,2158.1183333333333,1594002570.0
131,1294.2087747519643,1304.8464999999999,1594006170.0
132,1277.683033396019,1295.7915,1594009770.0
133,1519.278131228988,1606.8458333333333,1594013370.0
134,2714.706721448617,2757.1648333333337,1594016970.0
135,2973.025048737766,2972.837,1594020570.0
136,2975.4934909548697,3020.33,1594024170.0
137,2959.792766414878,2994.1695000000004,1594027770.0
138,2976.650758640741,3012.561,1594031370.0
139,2970.689428996126,2997.822833333333,1594034970.0
140,2967.5962168308824,3000.0683333333336,1594038570.0
141,2910.3204887609486,2914.3335,1594042170.0
142,2956.0613477834186,2994.735666666667,1594045770.0
143,2922.5679184318524,2941.575333333333,1594049370.0
144,2843.443889522433,2823.238166666667,1594052970.0
145,2830.808523878201,2805.536333333333,1594056570.0
146,2824.716855436647,2785.9535,1594060170.0
147,2826.515271892937,2797.504,1594063770.0
148,2832.331624037704,2806.6781666666666,1594067370.0
149,2849.36358445035,2811.5088333333333,
150,2855.8097332253196,2815.985666666667,1594074570.0
151,2868.9326242243574,2830.3945000000003,1594078170.0
152,2870.455547169014,2827.972,1594081770.0
153,2860.239232843003,2838.6025,1594085370.0
154,2864.0301331937208,2814.524166666667,1594088970.0
155,2372.4992275643654,2489.9266666666667,1594092570.0
156,974.7830379698203,819.3553333333333,1594096170.0
157,1380.5641294617471,1369.7381666666668,1594099770.0
158,2913.155160957146,2910.1663333333336,1594103370.0
159,2876.1773604245495,2844.2728333333334,1594106970.0
160,2893.1544772455436,2861.789333333333,1594110570.0
161,2905.1275882758446,2870.3143333333333,1594114170.0
162,2907.2252460028594,2895.5313333333334,1594117770.0
163,2919.39242641219,2899.739666666667,1594121370.0
164,2912.4475782864356,2890.2794999999996,1594124970.0
165,2893.0396587151963,2854.6781666666666,1594128570.0
166,2903.1931984701137,2871.634833333333,1594132170.0
167,2913.175258671329,2889.429166666667,1594135770.0
168,2906.3562687102362,2886.944,1594139370.0
169,2854.650922635771,2805.0323333333336,1594142970.0
170,2849.0116141227277,2806.1421666666665,1594146570.0
171,2852.7364553713282,2802.5528333333336,1594150170.0
172,2852.4579372992366,2801.0654999999997,1594153770.0
173,2855.5093485175908,2822.5773333333336,1594157370.0
174,2854.716074372807,2805.6941666666667,1594160970.0
175,2849.364808322367,2806.5025,1594164570.0
176,2848.2997374942433,2787.9553333333333,1594168170.0
177,2834.5605236039346,2786.9576666666667,1594171770.0
178,953.6935529635052,559.5698333333333,1594175370.0
179,952.7341451009838,729.4155,1594178970.0
180,970.3838237183154,698.561,1594182570.0
181,1688.8780261738345,1773.4263333333333,1594186170.0
