,Fcw_ypred,Fcw_yobse,ts
171,2821.5202563534667,2802.5528333333336,1594150170.0
172,2821.1861722013728,2801.0654999999997,1594153770.0
173,2824.855287715235,2822.5773333333336,1594157370.0
174,2823.8995165322895,2805.6941666666667,1594160970.0
175,2817.5341934040166,2806.5025,1594164570.0
176,2816.316084060241,2787.9553333333333,1594168170.0
177,2801.0710891153353,2786.9576666666667,1594171770.0
178,749.4798528399967,559.5698333333333,1594175370.0
179,750.3378261952762,729.4155,1594178970.0
180,773.0344767321619,698.561,1594182570.0
181,1775.4731918561567,1773.4263333333333,1594186170.0
182,2861.3821240751995,2863.750333333333,1594189770.0
183,2809.2048231600606,2806.86,1594193370.0
184,2812.804674416487,2812.6721666666663,1594196970.0
185,2806.518609820283,2793.3033333333337,1594200570.0
186,2804.783772966834,2782.9718333333335,1594204170.0
187,2802.333716599156,2799.0741666666668,1594207770.0
188,2799.529466970279,2772.7211666666667,1594211370.0
189,2801.61492898722,2790.4416666666666,1594214970.0
190,2480.0176713566507,2456.926,1594218570.0
191,2112.2451579896997,2117.5125,1594222170.0
192,2110.0212514740015,2111.9643333333333,1594225770.0
193,2109.272847183332,2113.811,1594229370.0
194,2112.973779535021,2117.3278333333333,1594232970.0
195,2113.3727632276677,2112.4945,1594236570.0
196,2112.23307857714,2114.1893333333333,1594240170.0
197,2110.722459097693,2109.4243333333334,
198,2109.3589998294046,2107.663,1594247370.0
199,2110.4063163442765,2118.472166666667,1594250970.0
200,2110.6939912668167,2120.5606666666667,1594254570.0
201,2108.320748050077,2108.897,1594258170.0
202,829.0231324741035,613.3723333333332,1594261770.0
203,755.0095608060778,777.4373333333333,1594265370.0
204,754.9340736435711,553.5208333333334,1594268970.0
205,897.609900310172,904.6163333333334,1594272570.0
206,2486.83707555005,2399.7846666666665,1594276170.0
207,3035.686996429936,3038.142,1594279770.0
208,2950.875710891566,2944.9345000000003,1594283370.0
209,3003.0296983756316,3005.2656666666667,1594286970.0
210,3078.3944842205296,3067.9159999999997,1594290570.0
211,3084.6357066327937,3065.6316666666667,1594294170.0
212,3095.5327378363936,3088.3406666666665,1594297770.0
213,3078.048772003621,3090.0585,1594301370.0
214,3069.9412198588216,3077.6730000000002,1594304970.0
215,2563.931436055148,2699.9338333333335,1594308570.0
216,1052.2623060360538,959.5183333333333,1594312170.0
217,966.0411372011765,977.0145,1594315770.0
218,965.9790091961764,984.8386666666667,1594319370.0
219,964.7699494910347,982.4086666666666,1594322970.0
220,966.5570432819093,971.9906666666667,1594326570.0
221,966.5631342627919,979.9571666666667,1594330170.0
222,964.5263102557418,986.5028333333333,1594333770.0
223,1038.7373868945965,1069.6633333333334,1594337370.0
224,1158.158555303531,1186.7355,1594340970.0
225,1110.9627528286537,1075.8906666666667,1594344570.0
226,970.0739756433643,779.8671666666667,1594348170.0
227,967.6558562330811,985.0466666666667,1594351770.0
228,967.4061260169053,977.3465,1594355370.0
229,965.6269505011783,975.7189999999999,1594358970.0
230,966.9322477042608,982.2841666666667,1594362570.0
231,967.7435663577868,972.207,1594366170.0
232,957.8928615460155,976.796,1594369770.0
233,898.5409220403681,914.5138333333333,1594373370.0
234,899.304977756399,920.7631666666667,1594376970.0
235,899.6903118404468,930.7776666666666,1594380570.0
236,901.415769636747,914.4203333333334,1594384170.0
237,899.5249527251494,915.8026666666667,1594387770.0
238,899.5568799860264,576.4156666666667,1594391370.0
239,907.9260940908216,917.1615,1594394970.0
240,908.9869635481078,928.7836666666666,1594398570.0
241,909.4882000348077,924.3396666666666,1594402170.0
242,909.5744675678229,933.2586666666666,1594405770.0
243,923.7062666111976,936.0448333333334,1594409370.0
244,994.1905019350816,1001.7415,1594412970.0
245,991.374864945662,983.743,1594416570.0
246,997.139514802144,1022.2284999999999,1594420170.0
247,964.3471397894516,1002.054,1594423770.0
248,959.0914708042919,983.0503333333332,1594427370.0
249,960.0561025726037,805.9086666666666,1594430970.0
250,959.8392220820888,691.2411666666667,1594434570.0
251,959.3846983358123,992.6683333333333,1594438170.0
252,963.2459655535127,980.3264999999999,1594441770.0
253,2016.5063910904253,1939.3774999999998,1594445370.0
254,3349.3175056324494,3333.6691666666666,1594448970.0
255,3195.124544470118,3172.7716666666665,1594452570.0
256,3519.3636344398346,3557.3826666666664,1594456170.0
257,3610.9459112761074,3582.371,1594459770.0
