,ts,NB2_S_1_NYZ_sys_x_PcwOut_x,NB2_S_1_NYZ_sys_x_PcwIn_x,NB2_S_1_NYZ_cwp_9_HzSPR_x,NB2_S_1_NYZ_cwp_10_HzSPR_x,NB2_S_1_NYZ_cwp_11_HzSPR_x,NB2_S_1_NYZ_cwp_12_HzSPR_x,NB2_S_x_NYZ_x_x_Fcw_x,cwp_9_val_pos,cwp_10_val_pos,cwp_11_val_pos,cwp_12_val_pos
8550,1625580870,327893.6667,244995.3333,26.43904,26.43904,0,26.43904,754.8528796,1,1,0.001,1
8580,1625582670,319530.6667,236343,26.39692667,26.39692667,0,26.39692667,761.8181852,1,1,0.001,1
8610,1625584470,311718.3333,230583.3333,25.98892667,25.98892667,0,25.98892667,748.5840093,1,1,0.001,1
8640,1625586270,342101,262355,25.5603,25.5603,0,25.5603,728.3496204,1,1,0.001,1
8670,1625588070,339120.3333,259924.3333,25.36326333,25.36326333,0,25.36326333,722.8735556,1,1,0.001,1
8700,1625589870,344358,265480,25.49563,25.49563,0,25.49563,727.8901482,1,1,0.001,1
8730,1625591670,347656,269531,25.40411333,25.40411333,0,25.40411333,730.4570648,1,1,0.001,1
8760,1625593470,359751.3333,281974,25.82753667,25.82753667,0,25.82753667,747.3965741,1,1,0.001,1
8790,1625595270,356335.6667,279196,25.71349333,25.71349333,0,25.71349333,740.4317593,1,1,0.001,1
8850,1625597070,350867.6667,274798.6667,25.54446333,25.54446333,0,25.54446333,737.3931574,1,1,0.001,1
9150,1625613270,504080.3333,463338.6667,0,29.60355,0,0,323.203713,0.001,1,0.001,0.001
9180,1625618670,338426,248003,29.43378333,29.43378333,0,29.43378333,875.8056759,1,1,0.001,1
9210,1625620470,343344.3333,252633,28.29871667,28.29871667,0,28.29871667,825.5919907,1,1,0.001,1
9240,1625622270,345833.3333,257147,27.36336333,27.36315667,0,27.36315667,786.8056204,1,1,0.001,1
9270,1625624070,348784.3333,261950.3333,27.42601667,27.42601667,0,27.42601667,786.088213,1,1,0.001,1
9300,1625625870,332956.6667,248351,27.03603333,27.03619,0,27.03619,786.6583889,1,1,0.001,1
9330,1625627670,329487,245892,26.88863667,26.88863667,0,26.88863667,772.6469722,1,1,0.001,1
9360,1625629470,376504.6667,275550.3333,27.28896333,27.28896333,0,27.28896333,758.925287,1,1,0.001,1
9390,1625631270,421557,322859.6667,27.04248667,27.04250667,0,27.04250667,751.2289907,1,1,0.001,1
