time,chw_sup_P.p
157.42573141316896,615201.2085117265
161.2597253225722,615203.7703731249
165.09371923197543,615205.7696201974
168.92771314137866,615207.3293536494
172.7617070507819,615208.5459150332
176.59570096018513,615209.494792521
180.42969486958836,615210.2349479831
184.2636887789916,615210.8122817588
188.09768268839483,615211.2625481448
190.870536006334,615211.5251102862
193.64338932427316,615211.7444791698
196.41624264221232,615211.92773931
199.1890959601515,615212.0808250237
201.96194927809066,615212.2087097189
204.73480259602982,615212.3155478522
207.507655913969,615212.4048022866
210.28050923190816,615212.4793632425
213.05336254984732,615212.5416483739
217.78343959207191,615212.6251964653
222.5135166342965,615212.6867384636
227.2435936765211,615212.7320469432
231.9736707187457,615212.7653592275
236.7037477609703,615212.7898313104
244.41680172746572,615212.8167812561
252.12985569396116,615212.8332875506
259.8429096604566,615212.8432593907
